id,Name
101, Isaac Newton
102, Archimedes
103, Carl F. Gauss
104, Leonhard Euler
105, Bernhard Riemann
106, Henri Poincaré
107, Joseph-Louis Lagrange
108, Euclid  of Alexandria
109, David Hilbert
110, Gottfried W. Leibniz
111, Alexandre Grothendieck
112, Pierre de Fermat
113, Évariste Galois
114, John von Neumann
115, René Descartes
116, Karl W. T. Weierstrass
117, Srinivasa Ramanujan
118, Hermann K. H. Weyl
119, Peter G. L. Dirichlet
120, Niels Abel
121, Georg Cantor
122, Carl G. J. Jacobi
123, Brahmagupta
124, Augustin Cauchy
125, Arthur Cayley
126, Emmy Noether
127, Pythagoras  of Samos
128, Aryabhata
129, Leonardo `Fibonacci'
130, William R. Hamilton
131, Apollonius  of Perga
132, Charles Hermite
133, Pierre-Simon Laplace
134, Carl Ludwig Siegel
135, Johannes Kepler
136, Diophantus  of Alexandria
137, Muhammed al-Khowârizmi
138, Kurt Gödel
139, Richard Dedekind
140, Felix Christian Klein
141, Bháscara (II) Áchárya
142, Blaise Pascal
143, Élie Cartan
144, Archytas  of Tarentum
145, Godfrey H. Hardy
146, Alhazen ibn al-Haytham
147, Jean le Rond d'Alembert
148, F.E.J. Émile Borel
149, Julius Plücker
150, Hipparchus  of Nicaea
151, Andrey N. Kolmogorov
152, Joseph Liouville
153, Eudoxus  of Cnidus
154, F. Gotthold Eisenstein
155, Jacob Bernoulli
156, Stefan Banach
157, Jacques Hadamard
158, Giuseppe Peano
159, Panini  of Shalatula
160, André Weil
161, Jean-Pierre Serre
162, Jakob Steiner
163, Marius Sophus Lie
164, F. L. Gottlob Frege
165, Christiaan Huygens
166, François Viète
167, M. E. Camille Jordan
168, Joseph Fourier
169, Bonaventura Cavalieri
170, Hermann G. Grassmann
171, Albert Einstein
172, James C. Maxwell
173, Girolamo Cardano
174, Aristotle
175, Galileo Galilei
176, Michael F. Atiyah
177, Atle Selberg
178, Alfred Tarski
179, Gaspard Monge
180, L.E.J. Brouwer
181, Liu Hui
182, Alan M. Turing
183, Jean-Victor Poncelet
184, John E. Littlewood
185, Shiing-Shen Chern
186, James J. Sylvester
187, Henri Léon Lebesgue
188, Johann Bernoulli
189, Ernst E. Kummer
190, Johann H. Lambert
191, George Pólya
192, Felix Hausdorff
193, George D. Birkhoff
194, Pafnuti Chebyshev
195, Adrien M. Legendre
196," John F. Nash, Jr."
197, Siméon-Denis Poisson
198, John Wallis
199, Omar al-Khayyám
200, Thales  of Miletus
